restaurantName	address	city	postalCode	country	region	priceRange	cuisineType	description	facilitiesServices	creditCards	phoneNumber	website
La Sosta di Ottone III	Località Chiesanuova 39	Levanto	19015	ITA	Liguria	€€	Ligurian	Ask for directions to this restaurant when you make your booking, as you’ll need to leave your vehicle in a private car park at the entrance to the village and then make your way uphill on foot. ...	Air conditioning, Car park, Garden or park, Great view, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0187 814502	https://www.lasosta.com/it/
La Torre	piazza Mazzini 14	Monselice	35043	ITA	Veneto	€€	Traditional Cuisine, Grills	Overlooked by a medieval tower in the main town square, this restaurant is perfect for anyone keen on classic, traditional cuisine. House specialities include dishes cooked over the barbecue grill.	Air conditioning	Amex, Mastercard, Visa	+39 0429 73752	https://www.ristorantelatorremonselice.it/
Il Centro	via Umberto I 5	Priocca	12040	ITA	Piedmont	€€€	Piedmontese, Classic Cuisine	There’s a timeless feel to this restaurant, which is run by the Cordero family and serves some of the best Piedmontese cuisine in the region. Heading the team here are Elide in the kitchen and ...	Air conditioning, Interesting wine list	Amex, Mastercard, Visa	+39 0173 616112	https://www.ristoranteilcentro.com/
I Giardini dei Rodo	via Bonomo Alto - Scauri	Pantelleria	91017	ITA	Sicily	€€	Sicilian, Modern Cuisine	As its name suggests, this restaurant’s guests can enjoy their meal surrounded by verdant gardens, which are planted with palms, flowers and citrus trees. Regional flavours take centre-stage in ...	Car park, Terrace	Amex, Mastercard, Visa	+39 334 141 4002	http://igiardinideirodo.it
da Omar	via Dante Alighieri 21	Lido di Jesolo	30016	ITA	Veneto	€€€€	Seafood	Passion and enthusiasm overcome all obstacles and lead to the best results: this summarises the professional journey of the chef at this restaurant. He prepares fish dishes inspired by classic ...	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 0421 93685	https://www.ristorantedaomar.com/
Luisl Stube	via Venosta 4	Algund	39022	ITA	Trentino-South Tyrol	€€€€	Creative, Contemporary	Schlosswirt Forst is a typical 16C residence that is home to a traditional restaurant, a few guestrooms and the Luisl Stube, a small gem boasting the beautiful old wood and traditional chandeliers...	Car park, Interesting wine list, Wheelchair access	Mastercard, Visa	+39 0473 260350	https://www.schlosswirt-forst.it/it/ristorante-gourmet/ristorante-gourmet/
53 Untitled	via del Monte della Farina 53	Rome	00186	ITA	Lazio	€€	Italian Contemporary	Situated in the heart of historic Rome not far from Piazza Navona, this small, simple restaurant with just a few tables serves excellent cuisine (booking ahead is recommended). Apart from a few ...	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 375 715 0155	http://www.untitledrestaurant.com
Il Narciso	viale Amerigo Vespucci 32	Carrara	54033	ITA	Tuscany	€€€	Italian Contemporary	Housed in the Polda baths near the marina, this recently opened small restaurant on the beach serves cuisine with a contemporary yet classic flavour. The restaurant boasts excellent bread, ...	Air conditioning, Car park, Great view, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 351 002 5490	https://www.ristoranteilnarciso.it
Shiroya	via dei Baullari 147	Rome	00186	ITA	Lazio	€€	Japanese, Asian	One of the most popular restaurants in the historic centre of Rome, Shiroya has just a few tables, so booking ahead is recommended. Served with courtesy and professionalism, dishes include ...	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 06 6476 0753	https://www.shiroya.it
Prato Gaio	Località Versa, bivio per Volpara	Montecalvo Versiggia	27047	ITA	Lombardy	€€	Country cooking	The restaurant trade is in the family genes: already an inn in the 19C, the Prato Gaio takes inspiration from the cuisine of the Oltrepò region. A selection of traditional specialities alongside ...	Air conditioning, Car park, Terrace	Mastercard, Visa	+39 0385 99726	https://www.ristorantepratogaio.it
Acqua	via Filippo Corridoni 1	Olgiate Olona	21057	ITA	Lombardy	€€€	Seafood, Contemporary	The Possoni continue with their family tradition in this contemporary-style restaurant situated opposite the long-established Ma.Ri.Na. Here, their emphasis is on the quality of their ingredients,...	Air conditioning, Interesting wine list, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 351 730 2292	https://acquarestaurant.it
Selvatico	via Silvio Pellico 19	Rivanazzano Terme	27055	ITA	Lombardy	€€	Country cooking, Traditional Cuisine	Opened in 1912 and now run by the fourth generation of the same family, this is one of the best restaurants in the Oltrepò Pavese area. If you’re looking to sample the gastronomic delights of this...	Interesting wine list, Terrace, Wheelchair access	Mastercard, Visa	+39 0383 944720	https://albergoselvatico.com/
Abbruzzino	via Fiume Savuto, località Santo Janni	Catanzaro	88100	ITA	Calabria	€€€	Country cooking, Contemporary	Having opened new premises in Lamezia Terme (Abbruzzino Oltre), this restaurant has retained young chef Antonio Fazio (who practically grew up here) at the helm at this address, where he continues...	Air conditioning, Car park, Garden or park, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0961 799008	https://www.abbruzzino.it/
Su Gologone	Località Su Gologone	Oliena	08025	ITA	Sardinia	€€	Sardinian, Traditional Cuisine	It is difficult to choose between the three delightful rooms in this restaurant. One has a huge fireplace used for roasting the famous porceddu (suckling pig); another, more intimate in style, is ...	Air conditioning, Car park, Garden or park, Great view, Restaurant offering vegetarian menus, Terrace	Amex, Mastercard, Visa	+39 0784 287512	https://www.sugologone.it/ristorante-tipico.html
Osteria 1861	via Valentino Izzo 1	Santa Maria di Castellabate	84048	ITA	Campania	€€€	Modern Cuisine, Mediterranean Cuisine	Accessed via a narrow alleyway behind the beach, this restaurant housed in an old warehouse once used for smoking cured meats and drying Cilento figs boasts stone-vaulted ceilings, a romantic ...	Restaurant offering vegetarian menus, Terrace	Amex, Mastercard, Visa	+39 0974 961454	https://www.osteria1861.it
La Piemontese	via San Martino 48	Mariano Comense	22066	ITA	Lombardy	€€	Piedmontese, Contemporary	The focus at La Piemontese, a simple yet modern restaurant with a convenient car park, is mainly on meat dishes, although game and fresh truffles also feature in season, plus there’s a generous ...	Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 031 412 4745	http://www.lapiemontesemariano.it
Makorè	via Palestro 10	Ferrara	44121	ITA	Emilia-Romagna	€€€	Italian Contemporary, Seafood	Makorè’s new gourmet venture offers guests a delightful dining experience where the focus is on vegetables, as well as fish from the adjacent fishmongers. The chef demonstrates his culinary skills...	Air conditioning, Wheelchair access	Amex, Mastercard, Visa	+39 0532 092068	http://www.makore.it
Un Piano nel Cielo	via Capriglione 147	Praiano	84010	ITA	Campania	€€€€	Mediterranean Cuisine, Contemporary	A delightful panoramic lift leads from the Casa Angelina hotel to this restaurant where, in fine weather, meals are served on the candlelit terrace with its breathtaking views of the coast. Chef ...	Air conditioning, Car park, Great view, Interesting wine list, Restaurant offering vegetarian menus, Terrace	Amex, Mastercard, Visa	+39 089 813 1333	https://www.casangelina.com/it/dining/un-piano-nel-cielo/
Al Baliaggio	via Vittorio Emanuele II 136	Venosa	85029	ITA	Basilicata	€	Modern Cuisine	Housed in a 15C building in the centre of town, this restaurant boasts beautiful vaulted ceilings and a smart, elegant ambience. The young owner-chef serves cuisine with a traditional focus which ...	Air conditioning, Wheelchair access	Amex, Mastercard, Visa	+39 0972 35081	https://www.albaliaggio.it/
Essenza	via Cavour 38	Terracina	04019	ITA	Lazio	€€€	Contemporary, Creative	Simone Nardini’s Michelin star continues to shine in Terracina in this elegant restaurant which is run by young, well-trained staff. The chef serves exciting, creative cuisine, with a careful ...	Air conditioning, Interesting wine list, Wheelchair access	Amex, Mastercard, Visa	+39 0773 369762	https://www.essenza.co/
Enoteca di Buttrio	via Cividale 38	Buttrio	33042	ITA	Friuli-Venezia Giulia	€€	Seafood	Housed in a beautiful historic building, this business, originally a wine bar (hence the name “enoteca”), gradually developed into a restaurant over the years. The menu focuses uniquely on fish, ...	Air conditioning, Car park, Terrace	Mastercard, Visa	+39 0432 674131	https://www.enotecadibuttriorestaurant.com/
Il Desco	via Dietro San Sebastiano 7	Verona	37121	ITA	Veneto	€€€€	Italian Contemporary	For more than 40 years, this refined, elegant restaurant housed in a Renaissance-style palazzo in the heart of Verona and embellished with beautiful works of art has been the city’s “drawing room”...	Air conditioning, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 045 595358	https://ristoranteildesco.it/
Locanda Belvedere	via San Giuseppe 736, frazione San Rocco	Saludecio	47835	ITA	Emilia-Romagna	€€	Country cooking, Modern Cuisine	Using local ingredients, this restaurant offers regional cuisine with some creative touches. Pretty and inviting rooms, tastefully decorated and with period furniture. All overlooking the valley.	Air conditioning, Car park, Great view, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0541 982144	https://www.belvederesaludecio.it/
De' Minimi	contrada Paola 6	Tropea	89861	ITA	Calabria	€€€	Calabrian, Contemporary	Situated within the beautiful Villa Paola hotel just outside Tropea, this gourmet restaurant is named after the Frati Minimi (Order of Minims) who once occupied this old monastery. The cuisine ...	Air conditioning, Car park, Garden or park	Amex, Mastercard, Visa	+39 0963 62370	https://deminimi.com/
La Musa Restaurant & Rooftop Terrace	Località Cini 29	Cima	22018	ITA	Lombardy	€€€	Modern Cuisine	Just six intimate tables in a modern restaurant with fine views of the lake through its large windows – the view is even more delightful from the summer terrace. The chef blends the flavors of his...	Air conditioning, Car park, Terrace	Amex, Mastercard, Visa	+39 0344 629132	https://ristorante-la-musa.com
Quintogusto	piazza Sandro Pertini 54 r	Savona	17100	ITA	Liguria	€€	Contemporary, Mediterranean Cuisine	Recently opened in the renovated section of Corso Italia in central Savona, Quintogusto is a small, contemporary and minimalist-style restaurant occupying one side of the former hospital. Here, ...	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 019 770 2870	https://ristorantequintogusto.com/
La Porta Antica	via Quarto dei Mille 16	Brescia	25128	ITA	Lombardy	€€€	Seafood, Contemporary	Having gained experience elsewhere in Italy, especially in Liguria where he gained confidence preparing the best-quality fish and seafood, Augusto Valzelli has returned home to demonstrate his own...	Air conditioning, Wheelchair access	Amex, Mastercard, Visa	+39 030 094 9313	https://www.laportaantica.it/
Matteo Ristorante	piazza Duomo 6	Biella	13900	ITA	Piedmont	€€	Modern Cuisine	The soft-toned decor is modern and intimate, while the cuisine also has a contemporary feel. Dishes include meat and fish options, plus numerous types of risottos, many of which feature distinctly...	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 015 355209	https://matteocaffeecucina.it/
Il Refettorio	via Roma 2	Conca dei Marini	84010	ITA	Campania	€€€€	Mediterranean Cuisine	Housed within the Monastero Santa Rosa, one of the most original and iconic hotels on the Amalfi Coast (the monastery was founded in the 17C and some of its original features can still be seen), ...	Air conditioning, Car park, Garden or park, Great view, Interesting wine list, Restaurant offering vegetarian menus, Terrace, Valet parking	Amex, Mastercard, Visa	+39 089 988 6212	https://monasterosantarosa.com/it/ristorazione/
Casa Bertini	via le Grazie 7b	Recanati	62019	ITA	Marche	€€€	Modern Cuisine, Country cooking	This unexpected gourmet restaurant is housed in a sports centre just outside the historic centre of Recanati, birthplace of famous Italian poet Giacomo Leopardi. At the helm in the kitchen, young,...	Air conditioning, Car park, Terrace, Wheelchair access	Mastercard, Visa	+39 071 236 3289	http://www.ristorantecasabertini.it
La Bottega del 30	via Santa Caterina 2, località Villa a Sesta	Castelnuovo Berardenga	53019	ITA	Tuscany	€€€	Tuscan, Traditional Cuisine	There’s a story behind the name of this restaurant: on the 30th day of every month a travelling salesman used to stop in this small, delightful village. In the meantime, a young French chef, ...	Terrace	Amex, Mastercard, Visa	+39 0577 359226	https://www.labottegadel30.com/
Trattoria Toscana al Vecchio Forno	via Poliziano 18	San Quirico d'Orcia	53027	ITA	Tuscany	€€	Tuscan, Traditional Cuisine	If you are looking for a place to eat that is centrally located and has good prices, you have found it. Captivating trattoria atmosphere. Pretty summer garden.	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 0577 897380	https://www.palazzodelcapitano.com/tuscany/trattoria-toscana/
La Madia	via Aquilini 5	Brione	25060	ITA	Lombardy	€€	Lombardian	This authentic rural trattoria overlooking the valley and Franciacorta specialises in regional produce and typical Italian cuisine. Each dish on the menu lists the origin of the ingredients used, ...	Car park, Great view, Terrace, Wheelchair access	Mastercard, Visa	+39 030 894 0937	https://www.trattorialamadia.it/
Villa Pignano	località Pignano 6	Volterra	56048	ITA	Tuscany	€€€	Contemporary, Tuscan	A veritable Garden of Eden just 15km from Volterra, this 300ha estate is home to a restaurant with a strong zero-mile philosophy. This is backed up by its careful use of ingredients grown or ...	Air conditioning, Car park, Garden or park, Great view, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0588 35032	httpss://borgopignano.com
Pantagruele	salita di Ripalta 1/5	Brindisi	72100	ITA	Apulia	€	Seafood	Situated in the town centre just a stone’s throw from the port, this small, typical trattoria is renowned for its delicious fish and seafood, including an excellent antipasto buffet and fresh fish...	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0831 560605	http://trattoriapantagruele.it
Osteria Contemporanea	via Francesco Mattai 4	Gattinara	13045	ITA	Piedmont	€€€	Italian Contemporary	Housed in an old butcher’s shop right in the village centre, this intimate and elegantly simple “osteria” is run by a young couple. In the kitchen, Agnese Loss, who was born in 2001, has already ...	Air conditioning	Amex, Mastercard, Visa	+39 339 462 1463	https://www.osteriacontemporanea.it/
Santa Elisabetta	piazza Santa Elisabetta 3	Florence	50122	ITA	Tuscany	€€€€	Creative, Mediterranean Cuisine	Thought to date back to Byzantine times, the Torre della Pagliazza has had many uses over the centuries, including housing a women’s prison in the 12C. Today it is home to one of the most ...	Air conditioning, Interesting wine list	Amex, Mastercard, Visa	+39 055 273 7673	https://www.ristorantesantaelisabetta.it/
Antica Corona Reale	via Fossano 13	Cervere	12040	ITA	Piedmont	€€€€	Piedmontese, Modern Cuisine	Situated between the Langhe and Monviso, this long-established restaurant celebrated its 200th anniversary a few years ago. Run by the Vivalda family for five generations, the restaurant started ...	Air conditioning, Car park, Interesting wine list, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0172 474132	https://anticacoronareale.it/
Il Ristorante - Niko Romito	via di Ripetta 73	Rome	00186	ITA	Lazio	€€€€	Italian Contemporary	Situated on the fifth floor of the Hotel Bulgari with views of the Mausoleum of Augustus, Il Ristorante - Niko Romito boasts a spacious terrace and an elegant, welcoming dining room with mahogany ...	Air conditioning, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 06 3608 0410	https://www.bulgarihotels.com/it_IT/rome/dining/il-ristorante-niko-romito
Il Grano di Pepe	via Roma 178/a	Ravarino	41017	ITA	Emilia-Romagna	€€€	Seafood, Mediterranean Cuisine	While you’re trying to decide between the tasting menu and the à la carte at this restaurant, you can tuck into its excellent bread, including the “sfincione” – a type of tomato-flavoured focaccia...	Air conditioning, Wheelchair access	Mastercard, Visa	+39 391 317 2377	https://ilgranodipepe.it/
Il Poggio Rosso	località San Felice	Castelnuovo Berardenga	53019	ITA	Tuscany	€€€€	Creative	You cross a magical landscape of hills dotted with cypress and olive trees, woodland and vineyards to get to Borgo San Felice, the luxury hotel that is home to Poggio Rosso. Here, ...	Air conditioning, Car park, Garden or park, Great view, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0577 3964	https://www.borgosanfelice.com/poggio-rosso-ristorante-gourmet
Campamac	strada della Valle 1	Barbaresco	12050	ITA	Piedmont	€€€	Piedmontese, Traditional Cuisine	A real gourmet inn which serves traditional Piedmontese dishes made from excellent ingredients alongside top-quality meats cooked on the barbecue grill. An elegant ambience with a deliberately ...	Air conditioning, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0173 635051	https://www.campamac.com/
Leon d'Oro	via Gambara 6	Pralboino	25020	ITA	Lombardy	€€€€	Country cooking, Creative	Situated in the historic centre of a small village between Brescia and Cremona in the Po Valley, this restaurant occupies a period palazzo with an interior full of history. From the exposed beams ...	Air conditioning, Interesting wine list, Terrace	Mastercard, Visa	+39 030 954156	https://www.locandaleondoro.com/
Trattoria del Cimino dal 1895	via Filippo Nicolai 44	Caprarola	01032	ITA	Lazio	€€	Cuisine from Lazio, Traditional Cuisine	Situated on the hill leading to Palazzo Farnese, this restaurant occupies the oldest building in the village, which dates back to 1370. Since 1940, the Calistri family have been delighting their ...	Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0761 646173	https://trattoriadelcimino.jimdofree.com/
Il Michelaccio	via Frugoni 49 r	Genoa	16121	ITA	Liguria	€€	Traditional Cuisine, Farm to table	A veritable bistro in a modern style and in a central position, a short distance from the famous Via XX Settembre, where the chef patron turns his hand to a fragrant cuisine, from the market, ...	Air conditioning, Wheelchair access	Mastercard, Visa	+39 010 570 4274	https://www.ilmichelaccio.it/
Tanzer	via del Paese 1	Issengo	39030	ITA	Trentino-South Tyrol	€€€	Creative	Situated right under the bell tower in a small hamlet, this restaurant has two romantic Stube - style dining rooms. One is decorated in elegant 19C - style, while the other is simpler and more ...	Car park, Garden or park, Terrace	Mastercard, Visa	+39 0474 565366	https://www.tanzer.it/
Trattoria Leoni	via Ricò 42	Barbian	43035	ITA	Emilia-Romagna	€	Emilian, Regional Cuisine	Situated amid gently rolling hills, this restaurant with large picture windows boasts fine views of the surrounding countryside, which can be enjoyed even more from its summer terrace. For many ...	Car park, Great view, Terrace	Amex, Mastercard, Visa	+39 0521 831196	https://www.trattorialeoni.it/
Da ö Vittorio	via Roma 160	Recco	16036	ITA	Liguria	€€	Seafood, Ligurian	Formerly a post house, today this is a characteristic restaurant with bedrooms available; the dining room is developed along the two wings with a veranda. Cuisine consists of many Ligurian ...	Car park, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0185 74029	https://www.daovittorio.it/
La Capuccina	via Novara 19/b, località Capuccina	Cureggio	28060	ITA	Piedmont	€€	Piedmontese, Traditional Cuisine	A 16C farmhouse right out in the countryside, with its own working farm complete with livestock, vegetable gardens and vineyards. The enthusiastic family at the helm serve dishes made from their ...	Air conditioning, Car park, Garden or park, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0322 839930	https://lacapuccina.it/
La Locanda del Colonnello	via Blandini 9	Modica	97015	ITA	Sicily	€€	Contemporary, Modern Cuisine	If you like walking, our advice is to approach this restaurant on foot from the lively Corso Umberto, taking the steps up to the Duomo di San Giorgio and then enjoying a pleasant stroll through ...	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 0932 191 1981	https://www.locandadelcolonnello.com/it
Joia	via Panfilo Castaldi 18	Milan	20124	ITA	Lombardy	€€€€	Vegetarian, Seasonal Cuisine	This restaurant in one of Milan’s historic districts is home to the chef who first introduced the concept of natural, vegetarian cuisine to the world of Italian fine dining. Pietro Leemann is the ...	Air conditioning, Interesting wine list, Restaurant offering vegetarian menus	Amex, Mastercard, Visa	+39 02 2952 2124	https://joia.it/
Li Jalantuùmene	piazza de Galganis 9	Monte Sant'Angelo	71037	ITA	Apulia	€€€	Apulian, Modern Cuisine	This rustic restaurant is faithful to the culinary traditions of the area, with an added spirit of discovery. It is located in a charming square. Pleasant outdoor area for summertime.	Terrace	Amex, Mastercard, Visa	+39 0884 565484	https://www.li-jalantuumene.it/
La Corte	via Roma 24	Follina	31051	ITA	Veneto	€€€	Modern Cuisine	Nel lussuoso hotel Villa Abbazia, gli ambienti sontuosi impreziositi da camino, affreschi e decorazioni d'epoca, e l'altrettanto elegante servizio all'aperto per la bella stagione sono la cornice ...	Air conditioning, Interesting wine list, Restaurant offering vegetarian menus, Terrace	Amex, Mastercard, Visa	+39 0438 971761	https://www.lacortefollina.com/
Bel Ami	via Roma 86	Maglie	73024	ITA	Apulia	€€	Seafood	A 19C palazzo renovated in modern style in its guestrooms and restaurant alike. The menu features fish and seafood, including raw dishes, and champagnes.	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0836 312930	https://www.hotelbelami.it/
Acquerello	via Patrioti 5	Fagnano Olona	21054	ITA	Lombardy	€€€€	Creative	The word “modern” sums up the cuisine here, although more than one word is needed to do justice to this restaurant. Housed in an old courtyard typical of Lombardy, Acquerello focuses on flavour ...	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 0331 611394	https://www.ristoranteacquerello.com/
Osteria da Pietro	via Chiassi 19	Castiglione delle Stiviere	46043	ITA	Lombardy	€€	Classic Cuisine, Italian	Housed in an elegant period building in the historic centre, this restaurant is run by a friendly couple, with the wife at the helm in the kitchen and the husband keeping a skilful eye on the ...	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 0376 673718	https://www.osteriadapietro.it/
La Serra	via Marconi 169, località Belvedere Fornillo	Positano	84017	ITA	Campania	€€€€	Mediterranean Cuisine, Contemporary	Despite its bright, elegant and airy feel, the panoramic dining room at this restaurant takes second place to the delightful, romantic terrace which boasts splendid views of the sea, the port and ...	Air conditioning, Car park, Great view, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 089 811980	https://www.leagavi.it/ristorante-la-serra
Hostaria Uva Rara	via Foina 42	Monticelli Brusati	25040	ITA	Lombardy	€€	Country cooking	An ancient farmhouse dating back to the 15th century; the characteristic vaulting of the ceilings is in stone; furnishings are in excellent taste and professional management guarantees full ...	Air conditioning, Restaurant offering vegetarian menus, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 030 685 2643	https://www.hostariauvarara.it/
Zappatori	corso Torino 34	Pinerolo	10064	ITA	Piedmont	€€€	Modern Cuisine	Leaving Pinerolo’s arcades behind you, a small courtyard leads into this historic trattoria housed in a 20C building which current chef Christian Milone has transformed into an elegant restaurant,...	Air conditioning	Mastercard, Visa	+39 0121 374158	https://www.trattoriazappatori.it/
Vecchia Sorni	piazza Assunta 40	Sorni	38015	ITA	Trentino-South Tyrol	€€	Regional Cuisine, Italian Contemporary	Situated in the northern wine-producing area of Trento, this trattoria is a real highlight, thanks to its delicious, beautifully presented cuisine which is always full of flavour. The menu ...	Great view, Restaurant offering vegetarian menus, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0461 870541	https://www.vecchiasorni.it
Kandoo Nippon Restaurant	piazza Cadorna 15	Cremona	26100	ITA	Lombardy	€€	Japanese, Classic Cuisine	Dark colours and a modern decor are the main features of this excellent restaurant which occupies two floors and is highly recommended for its gourmet Japanese specialities. Cooked and raw dishes ...	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0372 21775	https://www.sushikandoo.it
Idea Verde	via San Francesco 17/19	Olgiate Olona	21057	ITA	Lombardy	€€€	Seafood	Nestled in a tranquil garden, this cheerful restaurant with large windows continues to focus on fish and seafood.	Air conditioning, Car park, Garden or park, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0331 629487	https://www.ristoranteideaverde.it/
Al Vedel	via Vedole 68	Vedole	43052	ITA	Emilia-Romagna	€€	Emilian	A temple for the production of culatello ham, which feature in the dishes served, and is also matured on the premises (the maturing rooms are well worth a visit). Al Vedel also serves other ...	Air conditioning, Car park, Interesting wine list, Wheelchair access	Amex, Mastercard, Visa	+39 0521 816169	http://www.poderecadassa.it
Prezioso	via Fragsburg 3	Merano	39012	ITA	Trentino-South Tyrol	€€€€	Alpine, Creative	Once you leave Merano, you follow a road through the woods for about 5km to reach Castel Fragsburg, a small, fairytale-like residence with an elegant feel and guestrooms decorated in the ...	Car park, Garden or park, Great view, Terrace	Amex, Mastercard, Visa	+39 0473 244071	https://www.fragsburg.com/it/arte-culinaria/gourmet-restaurant-prezioso/
Il Rivale al Lago	via Marconi 93	Padenghe sul Garda	25080	ITA	Lombardy	€€€	Classic Cuisine, Italian Contemporary	A restaurant serving Mediterranean cuisine, where the emphasis is more on meat in winter and fish in summer. Welcoming ambience, with a number of different dining spaces, including a small room in...	Air conditioning, Car park, Garden or park, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 030 999 5813	https://ilrivale.it/Rivale-al-lago/
Antica Osteria	via Venezia 11	Ossana	38026	ITA	Trentino-South Tyrol	€€	Regional Cuisine, Seasonal Cuisine	A pleasant restaurant with three charming dining rooms, where the whole family pulls together with spectacular results. Delicious regional cuisine is to the fore, with dishes such as venison ...		Mastercard, Visa	+39 0463 751713	https://ristoranteanticaosteria.it/
Nostrano	piazzale della Libertà 7	Pesaro	61121	ITA	Marche	€€€	Country cooking, Creative	Situated just a few metres from the famous spherical sculpture by Arnaldo Pomodoro, this welcoming restaurant is now even more appealing following its recent refurbishment. Here, owner-chef ...	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 0721 639813	https://www.nostranoristorante.it
Il Convivio Troiani	vicolo dei Soldati 31	Rome	00186	ITA	Lazio	€€€€	Contemporary	A long-established restaurant that was opened in the early 1990s by three brothers from the Marche: Angelo in the kitchen, and Giuseppe and Massimo front of house. Since then, this restaurant has ...	Air conditioning, Interesting wine list	Amex, Mastercard, Visa	+39 06 686 9432	https://www.ilconviviotroiani.it/
La Brinca	via Campo di Ne 58	Ne	16040	ITA	Liguria	€€	Ligurian, Traditional Cuisine	This trattoria run by the Circella family – without doubt one of the best in Italy – has been delighting guests since 1987. The menu features dishes and ingredients that are generous, full of ...	Air conditioning, Car park, Interesting wine list, Restaurant offering vegetarian menus, Terrace	Amex, Mastercard, Visa	+39 0185 337480	https://www.labrinca.it/
Cielo	via Scipione Petrarolo 7	Ostuni	72017	ITA	Apulia	€€€€	Contemporary, Modern Cuisine	Cielo is the gourmet restaurant at the splendid and aptly named La Sommità hotel, which is housed in a typical old mansion right at the top of this whitewashed town with its limestone steps. The ...	Air conditioning, Restaurant offering vegetarian menus, Terrace	Amex, Mastercard, Visa	+39 0831 305925	https://www.lasommita.it/
Il Gallo della Checca	località Ponterotto 31	Ranzo	18020	ITA	Liguria	€€€	Ligurian, Italian	This restaurant wine - bar proposes some interesting culinary specialities based on local recipes. The dining hall features a fine display of bottles and, needless to say, the wine list is all ...	Car park, Interesting wine list, Terrace	Mastercard, Visa	+39 0183 318197	https://www.ilgallodellacheccaranzo.it/
Cucina Cereda	via Piazzini 33	Ponte San Pietro	24036	ITA	Lombardy	€€€	Modern Cuisine	A typical entrance leads into the courtyard of what was a monastery in the late 16C at this restaurant, where the dining room has a classic atmosphere. However, it is the cuisine that steals the ...	Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 035 437 1900	https://www.cucinacereda.com/
Osteria Piazzetta Cattedrale	largo Arcidiacono Trinchera 7	Ostuni	72017	ITA	Apulia	€€	Apulian, Modern Cuisine	Run by a married couple with the wife in the kitchen and the husband front of house, this gem of a restaurant just a few metres from the cathedral stands out for its top - quality produce (mainly ...	Air conditioning	Amex, Mastercard, Visa	+39 0831 335026	https://www.piazzettacattedrale.it/
Stella	via dei Narcisi 47/a	Casaglia	06126	ITA	Umbria	€	Country cooking, Traditional Cuisine	Dining options at this restaurant include an attractive outdoor terrace with views of the surrounding area (in summer) and a friendly bistro-style dining room. We particularly enjoyed the linguine...	Air conditioning, Interesting wine list, Terrace	Mastercard, Visa	+39 075 692 0002	http://www.stellaperugia.it
Hosteria Giusti	via Farini 75	Modena	41121	ITA	Emilia-Romagna	€€€	Emilian	Situated in an attractive retro-style room to the rear of an elegant delicatessen, this restaurant offers just four tables and a restricted menu of top-quality, traditional Emilian dishes. In the ...	Air conditioning, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 059 222533	http://www.hosteriagiusti.it
Oberwirt	vicolo San Felice 2	Marlengo	39020	ITA	Trentino-South Tyrol	€€€	Classic Cuisine, Regional Cuisine	The various Stube-style dining rooms in the Oberwirt hotel restaurant have a typical Tyrolean ambience, while the cuisine is decidedly traditional with its focus on seasonal and regional ...	Car park, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0473 222020	https://www.oberwirt.com/it/
